city,latitude,longitude
Compiègne,49.4179497,2.8263171
Paris,48.8588897,2.320041
Berlin,52.510885,13.3989367
Washington,38.8950368,-77.0365427
Shanghai,31.2312707,121.4700152
Lille,50.6365654,3.0635282
Buenos Aires,-34.6083696,-58.4440583
Lima,-12.0621065,-77.0365256
Dubaï,25.2647227,55.2924146
Alger,36.7729333,3.0588445
Helsinki,60.1674881,24.9427473
Los Angeles,34.0536909,-118.242766
Vancouver,49.2608724,-123.113952
Osaka,34.6937569,135.5014539
Mexico,23.6585116,-102.0077097
Bogota,4.7110053,-74.0720857
Tunis,36.8002068,10.1857757
Rabat,34.0218454,-6.8408929
New-York,40.7127281,-74.0060152
Rio de Janeiro,-22.9110137,-43.2093727
Oslo,59.9133301,10.7389701
London,51.4893335,-0.1440551
Marseille,43.2961743,5.3699525
Auckland,-36.852095,174.7631803
Wellington,-41.2887953,174.7772114
Bordeaux,44.841225,-0.5800364
Tokyo,35.6768601,139.7638947
Sidney,-33.8698439,151.2082848
Sao Paulo,-23.5506507,-46.6333824
Pekin,40.190632,116.412144
Melbourne,-37.8142454,144.9631732
Stockholm,59.3251172,18.0710935
Montreal,45.5031824,-73.5698065
